date,attack_ipv4_pct,attack_ipv6_pct,pillar,year,month
2024-12-09 00:00:00+00:00,99.848996,0.151004,attacks_l3_ip_version,2024,12
2024-12-16 00:00:00+00:00,99.724486,0.275514,attacks_l3_ip_version,2024,12
2024-12-23 00:00:00+00:00,99.905863,0.094137,attacks_l3_ip_version,2024,12
2024-12-30 00:00:00+00:00,99.962762,0.037238,attacks_l3_ip_version,2024,12
2025-01-06 00:00:00+00:00,99.916824,0.083176,attacks_l3_ip_version,2025,1
2025-01-13 00:00:00+00:00,99.876352,0.123648,attacks_l3_ip_version,2025,1
2025-01-20 00:00:00+00:00,99.899271,0.100729,attacks_l3_ip_version,2025,1
2025-01-27 00:00:00+00:00,96.152302,3.847698,attacks_l3_ip_version,2025,1
2025-02-03 00:00:00+00:00,99.810648,0.189352,attacks_l3_ip_version,2025,2
2025-02-10 00:00:00+00:00,99.920104,0.079896,attacks_l3_ip_version,2025,2
2025-02-17 00:00:00+00:00,99.908482,0.091518,attacks_l3_ip_version,2025,2
2025-02-24 00:00:00+00:00,99.88303,0.11697,attacks_l3_ip_version,2025,2
2025-03-03 00:00:00+00:00,99.845184,0.154816,attacks_l3_ip_version,2025,3
2025-03-10 00:00:00+00:00,99.92409,0.07591,attacks_l3_ip_version,2025,3
2025-03-17 00:00:00+00:00,99.866131,0.133869,attacks_l3_ip_version,2025,3
2025-03-24 00:00:00+00:00,99.912586,0.087414,attacks_l3_ip_version,2025,3
2025-03-31 00:00:00+00:00,99.879771,0.120229,attacks_l3_ip_version,2025,3
2025-04-07 00:00:00+00:00,99.940168,0.059832,attacks_l3_ip_version,2025,4
2025-04-14 00:00:00+00:00,99.952229,0.047771,attacks_l3_ip_version,2025,4
2025-04-21 00:00:00+00:00,99.254789,0.745211,attacks_l3_ip_version,2025,4
2025-04-28 00:00:00+00:00,99.082689,0.917311,attacks_l3_ip_version,2025,4
2025-05-05 00:00:00+00:00,99.658363,0.341637,attacks_l3_ip_version,2025,5
2025-05-12 00:00:00+00:00,99.802742,0.197258,attacks_l3_ip_version,2025,5
2025-05-19 00:00:00+00:00,99.128284,0.871716,attacks_l3_ip_version,2025,5
2025-05-26 00:00:00+00:00,99.819831,0.180169,attacks_l3_ip_version,2025,5
2025-06-02 00:00:00+00:00,99.795219,0.204781,attacks_l3_ip_version,2025,6
2025-06-09 00:00:00+00:00,99.829262,0.170738,attacks_l3_ip_version,2025,6
2025-06-16 00:00:00+00:00,99.728975,0.271025,attacks_l3_ip_version,2025,6
2025-06-23 00:00:00+00:00,99.53839,0.46161,attacks_l3_ip_version,2025,6
2025-06-30 00:00:00+00:00,99.540089,0.459911,attacks_l3_ip_version,2025,6
2025-07-07 00:00:00+00:00,99.602393,0.397607,attacks_l3_ip_version,2025,7
2025-07-14 00:00:00+00:00,99.745842,0.254158,attacks_l3_ip_version,2025,7
2025-07-21 00:00:00+00:00,99.498161,0.501839,attacks_l3_ip_version,2025,7
2025-07-28 00:00:00+00:00,99.570375,0.429625,attacks_l3_ip_version,2025,7
2025-08-04 00:00:00+00:00,99.470485,0.529515,attacks_l3_ip_version,2025,8
2025-08-11 00:00:00+00:00,99.374781,0.625219,attacks_l3_ip_version,2025,8
2025-08-18 00:00:00+00:00,99.599682,0.400318,attacks_l3_ip_version,2025,8
2025-08-25 00:00:00+00:00,99.602071,0.397929,attacks_l3_ip_version,2025,8
2025-09-01 00:00:00+00:00,99.789828,0.210172,attacks_l3_ip_version,2025,9
2025-09-08 00:00:00+00:00,99.704265,0.295735,attacks_l3_ip_version,2025,9
2025-09-15 00:00:00+00:00,99.859635,0.140365,attacks_l3_ip_version,2025,9
2025-09-22 00:00:00+00:00,99.7659,0.2341,attacks_l3_ip_version,2025,9
2025-09-29 00:00:00+00:00,99.816412,0.183588,attacks_l3_ip_version,2025,9
2025-10-06 00:00:00+00:00,99.682689,0.317311,attacks_l3_ip_version,2025,10
2025-10-13 00:00:00+00:00,99.802047,0.197953,attacks_l3_ip_version,2025,10
2025-10-20 00:00:00+00:00,99.558389,0.441611,attacks_l3_ip_version,2025,10
2025-10-27 00:00:00+00:00,99.443226,0.556774,attacks_l3_ip_version,2025,10
2025-11-03 00:00:00+00:00,99.646601,0.353399,attacks_l3_ip_version,2025,11
2025-11-10 00:00:00+00:00,99.746475,0.253525,attacks_l3_ip_version,2025,11
2025-11-17 00:00:00+00:00,99.67034,0.32966,attacks_l3_ip_version,2025,11
2025-11-24 00:00:00+00:00,99.820511,0.179489,attacks_l3_ip_version,2025,11
2025-12-01 00:00:00+00:00,99.676886,0.323114,attacks_l3_ip_version,2025,12
2025-12-08 00:00:00+00:00,96.945446,3.054554,attacks_l3_ip_version,2025,12
