date,dimension,UNDER_500_MBPS,_1_GBPS_TO_10_GBPS,_500_MBPS_TO_1_GBPS,_10_GBPS_TO_100_GBPS,OVER_100_GBPS
2025-06-09T00:00:00Z,bitrate,74.300255,14.111204,10.795211,0.741438,0.051891
2025-06-16T00:00:00Z,bitrate,77.934405,14.44947,7.206692,0.397813,0.011619
2025-06-23T00:00:00Z,bitrate,46.550355,34.405144,18.723816,0.267883,0.052802
2025-06-30T00:00:00Z,bitrate,55.941161,0.0,44.040001,0.0,0.018838
2025-07-07T00:00:00Z,bitrate,75.676279,14.490871,9.53745,0.239974,0.055426
2025-07-14T00:00:00Z,bitrate,69.721422,17.299255,12.520042,0.447123,0.012159
2025-07-21T00:00:00Z,bitrate,55.665927,25.176271,18.340064,0.778399,0.03934
2025-07-28T00:00:00Z,bitrate,99.908912,0.0,0.0,0.0,0.091088
2025-08-04T00:00:00Z,bitrate,76.796783,12.244193,10.713774,0.229377,0.015873
2025-08-11T00:00:00Z,bitrate,66.507111,21.960653,11.279455,0.222091,0.03069
2025-08-18T00:00:00Z,bitrate,54.061508,30.850143,13.718178,1.200584,0.169586
2025-08-25T00:00:00Z,bitrate,98.065004,1.399355,0.525314,0.0,0.010328
2025-09-01T00:00:00Z,bitrate,56.459359,14.150046,7.59578,21.185934,0.608881
2025-09-08T00:00:00Z,bitrate,69.750515,11.690284,13.494224,5.051603,0.013373
2025-09-15T00:00:00Z,bitrate,49.150344,11.81652,29.949497,9.071302,0.012336
2025-09-22T00:00:00Z,bitrate,63.145879,0.0,3.612221,33.235026,0.006875
2025-09-29T00:00:00Z,bitrate,70.135285,19.666391,5.051015,5.143116,0.004194
2025-10-06T00:00:00Z,bitrate,39.854042,27.895033,7.877581,24.302003,0.071341
2025-10-13T00:00:00Z,bitrate,46.419383,41.769193,10.852642,0.890407,0.068375
2025-10-20T00:00:00Z,bitrate,99.330571,0.0,0.0,0.0,0.669429
2025-10-27T00:00:00Z,bitrate,60.651922,21.53827,11.050224,6.733449,0.026135
2025-11-03T00:00:00Z,bitrate,65.933327,18.007688,12.56672,3.342419,0.149846
2025-11-10T00:00:00Z,bitrate,51.302464,31.754665,14.750305,2.16781,0.024755
2025-11-17T00:00:00Z,bitrate,1.645476,94.997212,3.356331,0.0,0.000981
2025-11-24T00:00:00Z,bitrate,48.007873,17.249106,8.98594,25.700017,0.057064
2025-12-01T00:00:00Z,bitrate,38.924018,26.422345,10.022765,24.524875,0.105998
2025-12-08T00:00:00Z,bitrate,40.323064,36.475086,14.649808,8.251437,0.300606
2025-12-15T00:00:00Z,bitrate,70.458215,0.0,29.526719,0.0,0.015065
2025-12-22T00:00:00Z,bitrate,67.251236,13.32757,15.453979,3.964115,0.0031
2025-12-29T00:00:00Z,bitrate,51.16871,28.33529,18.114492,2.269965,0.111543
2026-01-05T00:00:00Z,bitrate,55.487722,25.192203,17.615581,1.700502,0.003993
2026-01-12T00:00:00Z,bitrate,46.033929,19.674228,34.289905,0.0,0.001937
2026-01-19T00:00:00Z,bitrate,54.686564,30.304574,8.568182,6.428905,0.011774
2026-01-26T00:00:00Z,bitrate,49.45683,19.256378,13.608504,17.675392,0.002896
2026-02-02T00:00:00Z,bitrate,73.30961,10.002365,16.651679,0.031735,0.004612
2026-02-09T00:00:00Z,bitrate,55.54436,1.222567,43.230132,0.0,0.002942
2026-02-16T00:00:00Z,bitrate,74.998847,17.067743,6.056962,1.871947,0.0045
2026-02-23T00:00:00Z,bitrate,66.020123,22.112901,10.219382,1.645204,0.00239
2026-03-02T00:00:00Z,bitrate,59.984773,13.275782,24.966003,1.730043,0.043399
2026-03-09T00:00:00Z,bitrate,66.276537,33.721841,0.0,0.0,0.001622
2026-03-16T00:00:00Z,bitrate,44.840976,29.995349,22.612064,2.542033,0.009578
2026-03-23T00:00:00Z,bitrate,45.48145,32.867679,20.941174,0.701552,0.008145
2026-03-30T00:00:00Z,bitrate,31.872143,37.643579,30.31834,0.164516,0.001422
2026-04-06T00:00:00Z,bitrate,91.59159,6.759098,1.638796,0.0,0.010516
2026-04-13T00:00:00Z,bitrate,43.14225,43.270683,12.304071,1.27704,0.005956
2026-04-20T00:00:00Z,bitrate,41.896894,42.925467,12.810744,2.223033,0.143863
2026-04-27T00:00:00Z,bitrate,22.005731,58.101281,18.498197,1.247016,0.147775
2026-05-04T00:00:00Z,bitrate,30.911327,68.944512,0.125876,0.0,0.018285
2026-05-11T00:00:00Z,bitrate,43.082976,41.016108,15.381592,0.464448,0.054876
2026-05-18T00:00:00Z,bitrate,40.78063,42.404012,14.326731,2.320536,0.16809
2026-05-25T00:00:00Z,bitrate,34.750712,46.010758,16.88764,2.253036,0.097854
2026-06-01T00:00:00Z,bitrate,20.441141,71.010947,8.544526,0.0,0.003386
2026-06-08T00:00:00Z,bitrate,93.975671,1.359883,4.362766,0.301433,0.000247
