date,category,NOT_SPAM,SPAM
2025-06-09 00:00:00+00:00,spam,92.548151,7.451849
2025-06-16 00:00:00+00:00,spam,92.860888,7.139112
2025-06-23 00:00:00+00:00,spam,95.434346,4.565654
2025-06-30 00:00:00+00:00,spam,94.122276,5.877724
2025-07-07 00:00:00+00:00,spam,94.66722,5.33278
2025-07-14 00:00:00+00:00,spam,93.444699,6.555301
2025-07-21 00:00:00+00:00,spam,92.333281,7.666719
2025-07-28 00:00:00+00:00,spam,88.725836,11.274164
2025-08-04 00:00:00+00:00,spam,90.478692,9.521308
2025-08-11 00:00:00+00:00,spam,93.334973,6.665027
2025-08-18 00:00:00+00:00,spam,93.311346,6.688654
2025-08-25 00:00:00+00:00,spam,93.52862,6.47138
2025-09-01 00:00:00+00:00,spam,93.591492,6.408508
2025-09-08 00:00:00+00:00,spam,94.675747,5.324253
2025-09-15 00:00:00+00:00,spam,91.046866,8.953134
2025-09-22 00:00:00+00:00,spam,92.038502,7.961498
2025-09-29 00:00:00+00:00,spam,92.722147,7.277853
2025-10-06 00:00:00+00:00,spam,92.959951,7.040049
2025-10-13 00:00:00+00:00,spam,92.835725,7.164275
2025-10-20 00:00:00+00:00,spam,93.724977,6.275023
2025-10-27 00:00:00+00:00,spam,94.540729,5.459271
2025-11-03 00:00:00+00:00,spam,94.126662,5.873338
2025-11-10 00:00:00+00:00,spam,95.070435,4.929565
2025-11-17 00:00:00+00:00,spam,94.577677,5.422323
2025-11-24 00:00:00+00:00,spam,92.610751,7.389249
2025-12-01 00:00:00+00:00,spam,94.588544,5.411456
2025-12-08 00:00:00+00:00,spam,92.991945,7.008055
2025-12-15 00:00:00+00:00,spam,93.267576,6.732424
2025-12-22 00:00:00+00:00,spam,92.376566,7.623434
2025-12-29 00:00:00+00:00,spam,92.559622,7.440378
2026-01-05 00:00:00+00:00,spam,93.418151,6.581849
2026-01-12 00:00:00+00:00,spam,93.390274,6.609726
2026-01-19 00:00:00+00:00,spam,93.41648,6.58352
2026-01-26 00:00:00+00:00,spam,94.170178,5.829822
2026-02-02 00:00:00+00:00,spam,94.14725,5.85275
2026-02-09 00:00:00+00:00,spam,93.490561,6.509439
2026-02-16 00:00:00+00:00,spam,94.721919,5.278081
2026-02-23 00:00:00+00:00,spam,95.251139,4.748861
2026-03-02 00:00:00+00:00,spam,95.46701,4.53299
2026-03-09 00:00:00+00:00,spam,95.491166,4.508834
2026-03-16 00:00:00+00:00,spam,94.643686,5.356314
2026-03-23 00:00:00+00:00,spam,94.66573,5.33427
2026-03-30 00:00:00+00:00,spam,94.80773,5.19227
2026-04-06 00:00:00+00:00,spam,95.068202,4.931798
2026-04-13 00:00:00+00:00,spam,95.101261,4.898739
2026-04-20 00:00:00+00:00,spam,95.284692,4.715308
2026-04-27 00:00:00+00:00,spam,95.592145,4.407855
2026-05-04 00:00:00+00:00,spam,95.438712,4.561288
2026-05-11 00:00:00+00:00,spam,94.78967,5.21033
2026-05-18 00:00:00+00:00,spam,88.300486,11.699514
2026-05-25 00:00:00+00:00,spam,95.053361,4.946639
2026-06-01 00:00:00+00:00,spam,96.366225,3.633775
2026-06-08 00:00:00+00:00,spam,96.591689,3.408311
